Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90min,Ast_90min,G+A_90min,G-PK_90min,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90min,xAG_90min,xG+xAG,npxG_90min,npxG+xAG_90min,0
2002-2003,El Hadji Diouf,SEN,"FW,MF",Liverpool,21,1981,29,21,"1,881",20.9,3.0,2.0,5.0,3.0,0.0,0.0,6,0.0,0.14,0.1,0.24,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Mustapha Hadji,MAR,MF,Aston Villa,30,1971,11,7,617,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Dietmar Hamann,GER,MF,Liverpool,28,1973,30,29,"2,547",28.3,2.0,2.0,4.0,2.0,0.0,0.0,7,0.0,0.07,0.07,0.14,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Elvis Hammond,GHA,FW,Fulham,21,1980,10,3,404,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Jon Harley,ENG,DF,Fulham,22,1979,11,11,990,11.0,1.0,0.0,1.0,1.0,0.0,0.0,2,0.0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Ian Harte,IRL,DF,Leeds United,24,1977,27,24,"2,204",24.5,3.0,3.0,6.0,2.0,1.0,1.0,3,0.0,0.12,0.12,0.25,0.08,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Barry Hayles,JAM,FW,Fulham,30,1972,14,4,549,6.1,1.0,2.0,3.0,1.0,0.0,0.0,3,0.0,0.16,0.33,0.49,0.16,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Stéphane Henchoz,SUI,DF,Liverpool,27,1974,19,19,"1,615",17.9,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Lee Hendrie,ENG,MF,Aston Villa,25,1977,27,22,"1,832",20.4,4.0,2.0,6.0,4.0,0.0,0.0,7,0.0,0.2,0.1,0.29,0.2,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Thierry Henry,FRA,FW,Arsenal,24,1977,37,37,"3,298",36.6,24.0,20.0,44.0,20.0,4.0,5.0,8,0.0,0.65,0.55,1.2,0.55,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Martín Herrera,ARG,GK,Fulham,31,1970,2,1,141,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Emile Heskey,ENG,FW,Liverpool,24,1978,32,22,"2,057",22.9,6.0,3.0,9.0,6.0,0.0,0.0,3,0.0,0.26,0.13,0.39,0.26,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Tony Hibbert,ENG,DF,Everton,21,1981,24,23,"2,051",22.8,0.0,1.0,1.0,0.0,0.0,0.0,4,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Danny Higginbotham,GIB,DF,Southampton,23,1978,9,3,379,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Craig Hignett,ENG,"FW,MF",Blackburn,32,1970,3,1,110,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.82,0.0,0.82,0.82,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Thomas Hitzlsperger,GER,MF,Aston Villa,20,1982,26,24,"2,053",22.8,2.0,3.0,5.0,2.0,0.0,0.0,3,0.0,0.09,0.13,0.22,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Dean Holdsworth,ENG,FW,Bolton,33,1968,9,5,374,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Kevin Horlock,NIR,MF,Manchester City,29,1972,30,22,"2,049",22.8,0.0,3.0,3.0,0.0,0.0,0.0,4,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Geoff Horsfield,ENG,FW,Birmingham City,28,1973,31,15,"1,582",17.6,5.0,2.0,7.0,5.0,0.0,0.0,1,1.0,0.28,0.11,0.4,0.28,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Russell Hoult,ENG,GK,West Brom,29,1972,37,37,"3,275",36.4,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Steve Howey,ENG,DF,Manchester City,30,1971,24,24,"2,013",22.4,2.0,1.0,3.0,2.0,0.0,0.0,1,0.0,0.09,0.04,0.13,0.09,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Justin Hoyte,TRI,DF,Arsenal,17,1984,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Darren Huckerby,ENG,"FW,MF",Manchester City,26,1976,16,6,577,6.4,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.16,0.0,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Aaron Hughes,NIR,DF,Newcastle Utd,22,1979,35,35,"3,139",34.9,1.0,1.0,2.0,1.0,0.0,0.0,1,0.0,0.03,0.03,0.06,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Bryan Hughes,ENG,MF,Birmingham City,26,1976,22,10,941,10.5,2.0,1.0,3.0,2.0,0.0,0.0,3,0.0,0.19,0.1,0.29,0.19,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Lee Hughes,ENG,FW,West Brom,26,1976,23,14,"1,140",12.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Joey Hutchinson,ENG,DF,Birmingham City,20,1982,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Don Hutchison,SCO,MF,West Ham,31,1971,10,0,119,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.76,0.76,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Robert Huth,GER,DF,Chelsea,17,1984,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Sami Hyypiä,FIN,DF,Liverpool,28,1973,36,36,"3,153",35.0,3.0,2.0,5.0,3.0,0.0,0.0,0,1.0,0.09,0.06,0.14,0.09,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Junichi Inamoto,JPN,MF,Fulham,22,1979,18,8,803,8.9,2.0,2.0,4.0,2.0,0.0,0.0,0,0.0,0.22,0.22,0.45,0.22,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Steffen Iversen,NOR,FW,Tottenham,25,1976,19,8,779,8.7,1.0,3.0,4.0,1.0,0.0,0.0,0,0.0,0.12,0.35,0.46,0.12,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Jussi Jääskeläinen,FIN,GK,Bolton,27,1975,38,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,David James,ENG,GK,West Ham,31,1970,38,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Matt Jansen,ENG,FW,Blackburn,24,1977,7,0,84,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Francis Jeffers,ENG,FW,Arsenal,21,1981,16,2,351,3.9,2.0,1.0,3.0,2.0,0.0,0.0,1,0.0,0.51,0.26,0.77,0.51,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
