Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,Lee Bowyer,eng ENG,MF,West Ham,25,1977,10,10,865,9.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Titus Bramble,eng ENG,DF,Newcastle Utd,21,1981,16,13,"1,241",13.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Raúl Bravo,es ESP,DF,Leeds United,21,1981,5,5,400,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Gary Breen,ie IRL,DF,West Ham,28,1973,14,9,860,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Rufus Brevett,eng ENG,DF,West Ham,32,1969,13,12,"1,096",12.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Rufus Brevett,eng ENG,DF,Fulham,32,1969,19,19,"1,547",17.2,0,3,3,0,0,0,6,1,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,
2002-2003,Wayne Bridge,eng ENG,DF,Southampton,21,1980,34,34,"3,050",33.9,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,Matches,,,,,,,,,,,,
2002-2003,Michael Bridges,eng ENG,"FW,MF",Leeds United,23,1978,5,1,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Giovanni van Bronckhorst,nl NED,"DF,MF",Arsenal,27,1975,20,9,956,10.6,1,2,3,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,Matches,,,,,,,,,,,,
2002-2003,Steve Brown,eng ENG,DF,Charlton Ath,30,1972,3,0,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Wes Brown,eng ENG,DF,Manchester Utd,22,1979,22,22,"1,849",20.5,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,,,,,,,
2002-2003,Goran Bunjevčević,rs SRB,DF,Tottenham,29,1973,35,31,"2,747",30.5,0,1,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2002-2003,Jacob Burns,au AUS,MF,Leeds United,24,1978,2,2,127,1.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Thomas Butler,ie IRL,MF,Sunderland,21,1981,7,7,570,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Nicky Butt,eng ENG,"DF,MF",Manchester Utd,27,1975,18,14,"1,218",13.5,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,,,,,,
2002-2003,Steven Caldwell,sct SCO,DF,Newcastle Utd,21,1980,14,12,"1,167",13.0,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,,,,,,,,,,,,
