Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2010-2011,Elliot Grandin,fr FRA,"FW,MF",Blackpool,22,1987,23,21,"1,499",16.7,1,3,4,1,0,0,0,0,0.06,0.18,0.24,0.06,0.24,Matches,,,,,,,,,,,,
2010-2011,Robert Green,eng ENG,GK,West Ham,30,1980,37,37,"3,330",37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Jonathan Greening,eng ENG,MF,Fulham,31,1979,10,6,529,5.9,0,2,2,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,Matches,,,,,,,,,,,,
2010-2011,Vince Grella,au AUS,MF,Blackburn,30,1979,5,4,309,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Adlène Guedioura,dz ALG,MF,Wolves,24,1985,10,4,368,4.1,1,1,2,1,0,0,2,0,0.24,0.24,0.49,0.24,0.49,Matches,,,,,,,,,,,,
2010-2011,Magaye Gueye,fr FRA,"FW,MF",Everton,20,1990,5,2,191,2.1,0,1,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,,,,,,,,,,,,
2010-2011,Danny Guthrie,eng ENG,MF,Newcastle Utd,23,1987,14,11,949,10.5,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,,,,,,,,,,,,
2010-2011,Jonás Gutiérrez,ar ARG,MF,Newcastle Utd,27,1983,37,34,"2,973",33.0,3,4,7,3,0,0,5,0,0.09,0.12,0.21,0.09,0.21,Matches,,,,,,,,,,,,
2010-2011,Eiður Guðjohnsen,is ISL,"FW,MF",Stoke City,31,1978,4,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Eiður Guðjohnsen,is ISL,"FW,MF",Fulham,31,1978,10,4,412,4.6,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,
2010-2011,Asamoah Gyan,gh GHA,FW,Sunderland,24,1985,31,20,"2,005",22.3,10,4,14,10,0,0,0,0,0.45,0.18,0.63,0.45,0.63,Matches,,,,,,,,,,,,
2010-2011,Ali Al-Habsi,om OMA,GK,Wigan Athletic,28,1981,34,34,"3,060",34.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2010-2011,El Hadji Diouf,sn SEN,"FW,MF",Blackburn,29,1981,20,18,"1,558",17.3,0,3,3,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,
2010-2011,Marcus Hahnemann,us USA,GK,Wolves,38,1972,14,14,"1,260",14.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Greg Halford,eng ENG,"DF,FW",Wolves,25,1984,2,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Rafik Halliche,dz ALG,DF,Fulham,23,1986,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Mark Halstead,eng ENG,GK,Blackpool,19,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Adam Hammill,eng ENG,"FW,MF",Wolves,22,1988,10,7,536,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,
2010-2011,Brede Hangeland,no NOR,DF,Fulham,29,1981,37,37,"3,330",37.0,6,1,7,6,0,0,6,0,0.16,0.03,0.19,0.16,0.19,Matches,,,,,,,,,,,,
2010-2011,Grant Hanley,sct SCO,DF,Blackburn,18,1991,7,5,444,4.9,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,,,,,,,,,,,,
2010-2011,Marlon Harewood,eng ENG,FW,Blackpool,30,1979,16,7,661,7.3,5,1,6,5,0,0,1,0,0.68,0.14,0.82,0.68,0.82,Matches,,,,,,,,,,,,
2010-2011,Owen Hargreaves,eng ENG,MF,Manchester Utd,29,1981,1,1,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Steve Harper,eng ENG,GK,Newcastle Utd,35,1975,18,18,"1,564",17.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Joe Hart,eng ENG,GK,Manchester City,23,1987,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,John Heitinga,nl NED,"DF,MF",Everton,26,1983,27,23,"1,888",21.0,1,0,1,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,,,,,,
2010-2011,Bjørn Helge Riise,no NOR,MF,Fulham,27,1983,3,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Jordan Henderson,eng ENG,MF,Sunderland,20,1990,37,37,"3,211",35.7,3,4,7,3,0,0,2,0,0.08,0.11,0.20,0.08,0.20,Matches,,,,,,,,,,,,
2010-2011,Wayne Hennessey,wls WAL,GK,Wolves,23,1987,24,24,"2,160",24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Karl Henry,eng ENG,"DF,MF",Wolves,27,1982,29,28,"2,426",27.0,0,2,2,0,0,0,8,1,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,,,,,,
2010-2011,Chris Herd,au AUS,"DF,MF",Aston Villa,21,1989,6,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Javier Hernández,mx MEX,FW,Manchester Utd,22,1988,27,15,"1,492",16.6,13,1,14,13,0,0,5,0,0.78,0.06,0.84,0.78,0.84,Matches,,,,,,,,,,,,
2010-2011,Emile Heskey,eng ENG,FW,Aston Villa,32,1978,19,11,893,9.9,3,1,4,3,0,0,3,1,0.30,0.10,0.40,0.30,0.40,Matches,,,,,,,,,,,,
2010-2011,Tony Hibbert,eng ENG,DF,Everton,29,1981,20,17,"1,452",16.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Danny Higginbotham,gi GIB,DF,Stoke City,31,1978,10,9,843,9.4,2,0,2,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,,,,,,,,,,,,
2010-2011,Zavon Hines,eng ENG,"FW,MF",West Ham,21,1988,9,4,406,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Thomas Hitzlsperger,de GER,MF,West Ham,28,1982,11,11,990,11.0,2,4,6,2,0,0,1,0,0.18,0.36,0.55,0.18,0.55,Matches,,,,,,,,,,,,
2010-2011,Alexander Hleb,by BLR,MF,Birmingham City,29,1981,19,13,"1,089",12.1,1,2,3,1,0,0,0,0,0.08,0.17,0.25,0.08,0.25,Matches,,,,,,,,,,,,
2010-2011,Jonathan Hogg,eng ENG,MF,Aston Villa,21,1988,5,5,394,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Junior Hoilett,ca CAN,"FW,MF",Blackburn,20,1990,24,17,"1,494",16.6,5,1,6,5,0,0,2,0,0.30,0.06,0.36,0.30,0.36,Matches,,,,,,,,,,,,
2010-2011,Stuart Holden,us USA,MF,Bolton,24,1985,26,26,"2,289",25.4,2,2,4,2,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,,,,,,,
2010-2011,Tim Howard,us USA,GK,Everton,31,1979,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Tom Huddlestone,eng ENG,MF,Tottenham,23,1986,14,13,"1,162",12.9,2,2,4,2,0,0,3,0,0.15,0.15,0.31,0.15,0.31,Matches,,,,,,,,,,,,
2010-2011,Aaron Hughes,nir NIR,DF,Fulham,30,1979,38,38,"3,404",37.8,1,0,1,1,0,0,0,0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,
2010-2011,Stephen Hunt,ie IRL,"FW,MF",Wolves,28,1981,20,14,"1,340",14.9,3,2,5,3,0,0,5,0,0.20,0.13,0.34,0.20,0.34,Matches,,,,,,,,,,,,
2010-2011,James Hurst,eng ENG,DF,West Brom,18,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Robert Huth,de GER,DF,Stoke City,25,1984,35,35,"3,110",34.6,6,2,8,6,0,0,7,0,0.17,0.06,0.23,0.17,0.23,Matches,,,,,,,,,,,,
2010-2011,Alan Hutton,sct SCO,DF,Tottenham,25,1984,21,19,"1,706",19.0,2,1,3,2,0,0,2,0,0.11,0.05,0.16,0.11,0.16,Matches,,,,,,,,,,,,
2010-2011,Pablo Ibáñez,es ESP,DF,West Brom,28,1981,10,8,703,7.8,1,0,1,1,0,0,1,1,0.13,0.00,0.13,0.13,0.13,Matches,,,,,,,,,,,,
2010-2011,Hérita Ilunga,cd COD,DF,West Ham,28,1982,11,10,866,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Stephen Ireland,ie IRL,MF,Aston Villa,23,1986,10,6,504,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Stephen Ireland,ie IRL,MF,Newcastle Utd,23,1986,2,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Branislav Ivanović,rs SRB,DF,Chelsea,26,1984,34,32,"2,827",31.4,4,4,8,4,0,0,12,0,0.13,0.13,0.25,0.13,0.25,Matches,,,,,,,,,,,,
2010-2011,Jussi Jääskeläinen,fi FIN,GK,Bolton,35,1975,35,35,"3,097",34.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Lars Jacobsen,dk DEN,DF,West Ham,30,1979,24,22,"1,994",22.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Phil Jagielka,eng ENG,"DF,MF",Everton,27,1982,33,31,"2,796",31.1,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,
2010-2011,Gonzalo Jara,cl CHI,"DF,MF",West Brom,24,1985,29,24,"2,106",23.4,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,,,,,,
2010-2011,Matt Jarvis,eng ENG,MF,Wolves,24,1986,37,34,"3,049",33.9,4,6,10,4,0,0,2,0,0.12,0.18,0.30,0.12,0.30,Matches,,,,,,,,,,,,
2010-2011,Jermaine Jenas,eng ENG,MF,Tottenham,27,1983,19,14,"1,322",14.7,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,,,,,,
2010-2011,Cameron Jerome,eng ENG,FW,Birmingham City,23,1986,34,30,"2,648",29.4,3,6,9,3,0,0,2,0,0.10,0.20,0.31,0.10,0.31,Matches,,,,,,,,,,,,
2010-2011,Park Ji-sung,kr KOR,MF,Manchester Utd,29,1981,15,13,"1,080",12.0,5,3,8,5,0,0,1,0,0.42,0.25,0.67,0.42,0.67,Matches,,,,,,,,,,,,
2010-2011,Martin Jiránek,cz CZE,DF,Birmingham City,31,1979,10,10,781,8.7,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,,,,,,,,,,,,
2010-2011,Jô,br BRA,FW,Manchester City,23,1987,12,3,348,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Adam Johnson,eng ENG,MF,Manchester City,23,1987,31,15,"1,542",17.1,4,5,9,4,0,0,2,0,0.23,0.29,0.53,0.23,0.53,Matches,,,,,,,,,,,,
2010-2011,Andrew Johnson,eng ENG,FW,Fulham,29,1981,27,15,"1,559",17.3,3,3,6,3,0,0,3,0,0.17,0.17,0.35,0.17,0.35,Matches,,,,,,,,,,,,
2010-2011,Eddie Johnson,us USA,FW,Fulham,26,1984,11,1,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Glen Johnson,eng ENG,DF,Liverpool,25,1984,28,28,"2,437",27.1,2,2,4,2,0,0,4,0,0.07,0.07,0.15,0.07,0.15,Matches,,,,,,,,,,,,
2010-2011,Roger Johnson,eng ENG,DF,Birmingham City,27,1983,38,38,"3,375",37.5,2,1,3,2,0,0,5,0,0.05,0.03,0.08,0.05,0.08,Matches,,,,,,,,,,,,
2010-2011,David Jones,eng ENG,MF,Wolves,25,1984,12,11,951,10.6,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,,,,,,,
2010-2011,Jermaine Jones,us USA,MF,Blackburn,28,1981,15,15,"1,291",14.3,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Kenwyne Jones,tt TRI,FW,Stoke City,25,1984,34,33,"2,782",30.9,9,0,9,9,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,,,,,,,,,,,,
2010-2011,Phil Jones,eng ENG,"DF,MF",Blackburn,18,1992,26,24,"2,175",24.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Nigel de Jong,nl NED,MF,Manchester City,25,1984,32,30,"2,610",29.0,1,1,2,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,Matches,,,,,,,,,,,,
2010-2011,Milan Jovanović,rs SRB,"FW,MF",Liverpool,29,1981,10,5,460,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Younès Kaboul,fr FRA,DF,Tottenham,24,1986,21,19,"1,632",18.1,1,1,2,1,0,0,2,1,0.06,0.06,0.11,0.06,0.11,Matches,,,,,,,,,,,,
2010-2011,Gaël Kakuta,cd COD,"FW,MF",Chelsea,19,1991,5,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Gaël Kakuta,cd COD,"FW,MF",Fulham,19,1991,7,2,237,2.6,1,0,1,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,,,,,,,,,,,,
2010-2011,Nikola Kalinić,hr CRO,FW,Blackburn,22,1988,18,15,"1,061",11.8,5,1,6,5,0,0,2,1,0.42,0.08,0.51,0.42,0.51,Matches,,,,,,,,,,,,
2010-2011,Salomon Kalou,ci CIV,"FW,MF",Chelsea,24,1985,31,16,"1,570",17.4,10,3,13,10,0,0,1,0,0.57,0.17,0.75,0.57,0.75,Matches,,,,,,,,,,,,
2010-2011,Diomansy Kamara,sn SEN,FW,Fulham,29,1980,10,7,535,5.9,2,0,2,2,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,,,,,,,,,,,,
2010-2011,Robbie Keane,ie IRL,FW,Tottenham,30,1980,7,2,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Robbie Keane,ie IRL,FW,West Ham,30,1980,9,5,486,5.4,2,0,2,2,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,,,,,,,,,,,,
2010-2011,Dekel Keinan,il ISR,DF,Blackpool,25,1984,6,3,399,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Martin Kelly,eng ENG,"DF,MF",Liverpool,20,1990,11,10,860,9.6,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,,,,,,,,,,,,
2010-2011,Stephen Kelly,ie IRL,DF,Fulham,26,1983,10,8,729,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Andy Keogh,ie IRL,"FW,MF",Wolves,24,1986,1,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Michael Kightly,eng ENG,"FW,MF",Wolves,24,1986,4,1,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Ledley King,eng ENG,"DF,MF",Tottenham,29,1980,6,6,493,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Richard Kingson,gh GHA,GK,Blackpool,32,1978,20,19,"1,695",18.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Chris Kirkland,eng ENG,GK,Wigan Athletic,29,1981,4,4,331,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Ivan Klasnić,hr CRO,FW,Bolton,30,1980,22,0,335,3.7,4,1,5,4,0,0,2,1,1.07,0.27,1.34,1.07,1.34,Matches,,,,,,,,,,,,
2010-2011,Zat Knight,eng ENG,DF,Bolton,30,1980,34,34,"2,996",33.3,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,
2010-2011,Aleksandar Kolarov,rs SRB,DF,Manchester City,24,1985,24,20,"1,720",19.1,1,1,2,1,0,0,6,1,0.05,0.05,0.10,0.05,0.10,Matches,,,,,,,,,,,,
2010-2011,Vincent Kompany,be BEL,DF,Manchester City,24,1986,37,37,"3,330",37.0,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2010-2011,Paul Konchesky,eng ENG,"DF,FW",Liverpool,29,1981,15,15,"1,246",13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Paul Konchesky,eng ENG,"DF,FW",Fulham,29,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Sergei Kornilenko,by BLR,FW,Blackpool,27,1983,6,3,179,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Laurent Koscielny,fr FRA,DF,Arsenal,24,1985,30,30,"2,615",29.1,2,0,2,2,0,0,7,2,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,
2010-2011,Radoslav Kováč,cz CZE,"DF,MF",West Ham,30,1979,13,7,634,7.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Niko Kranjčar,hr CRO,MF,Tottenham,25,1984,13,2,380,4.2,2,0,2,2,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches,,,,,,,,,,,,
2010-2011,Tim Krul,nl NED,GK,Newcastle Utd,22,1988,21,20,"1,856",20.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Shefki Kuqi,fi FIN,FW,Newcastle Utd,33,1976,6,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Tomasz Kuszczak,pl POL,GK,Manchester Utd,28,1982,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Dirk Kuyt,nl NED,"DF,FW",Liverpool,30,1980,33,32,"2,815",31.3,13,7,20,8,5,5,3,0,0.42,0.22,0.64,0.26,0.48,Matches,,,,,,,,,,,,
2010-2011,Sotirios Kyrgiakos,gr GRE,DF,Liverpool,31,1979,16,10,"1,083",12.0,2,0,2,2,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,,,,,,,,,,,,
2010-2011,Louis Laing,eng ENG,DF,Sunderland,17,1993,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Frank Lampard,eng ENG,MF,Chelsea,32,1978,24,23,"2,024",22.5,10,2,12,6,4,5,2,0,0.44,0.09,0.53,0.27,0.36,Matches,,,,,,,,,,,,
2010-2011,Seb Larsson,se SWE,MF,Birmingham City,25,1985,35,31,"2,833",31.5,4,6,10,3,1,1,5,0,0.13,0.19,0.32,0.10,0.29,Matches,,,,,,,,,,,,
2010-2011,Jens Lehmann,de GER,GK,Arsenal,40,1969,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Lucas Leiva,br BRA,MF,Liverpool,23,1987,33,32,"2,857",31.7,0,1,1,0,0,0,8,1,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2010-2011,Aaron Lennon,eng ENG,"FW,MF",Tottenham,23,1987,34,25,"2,361",26.2,3,2,5,3,0,0,1,0,0.11,0.08,0.19,0.11,0.19,Matches,,,,,,,,,,,,
2010-2011,Joleon Lescott,eng ENG,DF,Manchester City,27,1982,22,20,"1,884",20.9,3,1,4,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,Matches,,,,,,,,,,,,
2010-2011,Eric Lichaj,us USA,DF,Aston Villa,21,1988,5,3,274,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Amine Linganzi,cg CGO,MF,Blackburn,20,1989,1,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Adrián López,es ESP,DF,Wigan Athletic,23,1987,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Jason Lowe,eng ENG,"DF,MF",Blackburn,18,1991,1,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Kazenga LuaLua,cd COD,"FW,MF",Newcastle Utd,19,1990,2,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,David Luiz,br BRA,"DF,MF",Chelsea,23,1987,12,11,953,10.6,2,0,2,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,,,,,,,,,,,,
2010-2011,Craig Lynch,eng ENG,"FW,MF",Sunderland,18,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Peter Løvenkrands,dk DEN,"FW,MF",Newcastle Utd,30,1980,25,18,"1,451",16.1,6,3,9,6,0,0,0,0,0.37,0.19,0.56,0.37,0.56,Matches,,,,,,,,,,,,
2010-2011,Federico Macheda,it ITA,FW,Manchester Utd,18,1991,7,2,220,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,,,,,,,,,,,,
2010-2011,Jean Makoun,cm CMR,MF,Aston Villa,27,1983,7,7,552,6.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Steed Malbranque,fr FRA,MF,Sunderland,30,1980,35,24,"2,166",24.1,0,3,3,0,0,1,3,0,0.00,0.12,0.12,0.00,0.12,Matches,,,,,,,,,,,,
2010-2011,Florent Malouda,fr FRA,"FW,MF",Chelsea,30,1980,38,33,"2,799",31.1,13,4,17,13,0,0,1,0,0.42,0.13,0.55,0.42,0.55,Matches,,,,,,,,,,,,
2010-2011,Michael Mancienne,sc SEY,"DF,MF",Wolves,22,1988,16,13,"1,116",12.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Obafemi Martins,ng NGA,FW,Birmingham City,25,1984,4,3,248,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Javier Mascherano,ar ARG,"DF,MF",Liverpool,26,1984,1,1,77,0.9,0,1,1,0,0,0,0,0,0.00,1.17,1.17,0.00,1.17,Matches,,,,,,,,,,,,
2010-2011,James McArthur,sct SCO,MF,Wigan Athletic,22,1987,18,3,557,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Benni McCarthy,za RSA,FW,West Ham,32,1977,6,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,James McCarthy,ie IRL,MF,Wigan Athletic,19,1990,24,24,"1,976",22.0,3,1,4,3,0,0,2,0,0.14,0.05,0.18,0.14,0.18,Matches,,,,,,,,,,,,
2010-2011,Josh McEachran,eng ENG,MF,Chelsea,17,1993,9,1,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,James McFadden,sct SCO,"FW,MF",Birmingham City,27,1983,4,3,276,3.1,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,,,,,,,,,,,,
2010-2011,Ryan McGivern,nir NIR,DF,Manchester City,20,1990,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Callum McManaman,eng ENG,"FW,MF",Wigan Athletic,19,1991,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Raul Meireles,pt POR,MF,Liverpool,27,1983,33,32,"2,523",28.0,5,5,10,5,0,0,5,0,0.18,0.18,0.36,0.18,0.36,Matches,,,,,,,,,,,,
2010-2011,Abdoulaye Méïté,ci CIV,DF,West Brom,29,1980,10,10,855,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,John Mensah,gh GHA,DF,Sunderland,27,1982,18,15,"1,193",13.3,0,1,1,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Matches,,,,,,,,,,,,
2010-2011,David Meyler,ie IRL,MF,Sunderland,21,1989,5,4,259,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Simon Mignolet,be BEL,GK,Sunderland,22,1988,23,23,"2,070",23.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2010-2011,Nenad Milijaš,rs SRB,MF,Wolves,27,1983,23,20,"1,713",19.0,2,3,5,2,0,0,1,0,0.11,0.16,0.26,0.11,0.26,Matches,,,,,,,,,,,,
