Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Sergio GÃ³mez,2022-2023,0,1,21,340,6,52.8,66.2,24.0,1,83,14.3,1,0,0,0.1
Claudio Gomes,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ben Knight,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Manuel Akanji,2022-2023,0,1,82,2284,23,146.5,385.6,180.0,5,460,71.4,7,0,2,3.6
MÃ¡ximo Perrone,2022-2023,0,0,1,18,1,2.6,1.0,4.0,0,4,0.8,0,0,0,0.0
Alex Robertson,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Shea Charles,2022-2023,0,0,1,27,1,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0
Nico O'Reilly,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Jack Butland,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Cristiano Ronaldo dos Santos Aveiro,2022-2023,1,0,20,519,8,83.2,63.8,218.0,3,42,35.6,3,0,2,1.9
David De Gea Quintana,2022-2023,0,0,161,3420,43,13.0,792.2,0.0,5,729,80.7,17,0,0,15.8
Phil Jones,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6
RaphaÃ«l Varane,2022-2023,0,0,77,1912,22,74.0,387.0,124.0,2,392,58.8,10,0,1,3.1
Harry Maguire,2022-2023,0,0,39,762,7,20.3,180.6,51.0,2,201,25.2,5,0,4,0.4
Frederico Rodrigues de Paula Santos,2022-2023,2,3,62,1228,22,335.9,282.2,213.0,2,272,83.0,4,0,6,0.5
Luke Shaw,2022-2023,1,4,124,2552,35,547.7,572.8,118.0,20,626,124.2,12,0,8,19.2
Bruno Borges Fernandes,2022-2023,8,9,176,3317,39,1532.3,948.0,948.0,23,748,343.1,18,0,6,13.3
Alex Telles,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Marcus Rashford,2022-2023,17,7,205,2880,39,459.7,887.8,1427.0,21,530,277.6,13,0,2,37.8
Donny van de Beek,2022-2023,0,0,8,162,3,40.2,11.2,54.0,0,21,10.5,0,0,0,0.1
Victor LindelÃ¶f,2022-2023,0,0,57,1359,16,53.5,265.0,19.0,3,327,33.9,6,0,1,1.6
Scott McTominay,2022-2023,1,0,36,1149,20,122.8,242.2,156.0,2,146,51.7,4,0,8,0.2
Eric Bailly,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Jadon Sancho,2022-2023,6,3,105,1683,18,543.9,390.6,382.0,8,375,131.7,13,0,0,3.3
Aaron Wan-Bissaka,2022-2023,0,0,67,1432,10,221.9,290.4,143.0,3,308,65.5,8,0,2,1.8
Diogo Dalot Teixeira,2022-2023,1,2,102,2152,34,418.6,469.4,272.0,19,502,116.0,10,0,6,6.3
Brandon Williams,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.8
Anthony Elanga,2022-2023,0,1,23,417,2,78.8,52.4,162.0,0,53,28.7,2,0,0,0.4
Anthony Martial,2022-2023,6,3,66,970,8,179.0,305.2,376.0,4,230,85.4,7,0,0,2.9
Facundo Pellistri Rebollo,2022-2023,0,0,4,60,1,1.7,3.2,2.0,0,14,0.6,0,0,0,0.0
Tom Heaton,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Tyrell Malacia,2022-2023,0,0,62,1391,14,125.8,206.4,77.0,8,287,41.1,7,0,6,1.9
Christian Eriksen,2022-2023,1,9,103,2046,25,564.3,420.8,344.0,8,426,132.8,13,0,3,2.5
Lisandro MartÃ­nez,2022-2023,1,0,81,2113,33,110.4,571.8,82.0,6,481,76.7,9,0,6,4.7
Amad Diallo,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Zidane Iqbal,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Alejandro Garnacho,2022-2023,3,2,39,557,13,58.5,153.8,266.0,0,81,47.9,0,0,3,1.5
Carlos Henrique Casimiro,2022-2023,4,3,87,2122,22,393.0,638.6,278.0,10,389,131.1,10,2,7,2.4
Antony Matheus dos Santos,2022-2023,4,2,82,1803,21,421.0,322.0,633.0,4,262,137.1,12,0,5,3.4
Matej KovÃ¡r,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Kobbie Mainoo,2022-2023,0,0,1,10,0,0.8,5.8,6.0,0,2,1.3,0,0,0,0.0
Nathan Bishop,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Shola Shoretire,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Rhys Bennett,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Wout Weghorst,2022-2023,0,1,24,790,11,183.7,97.6,140.0,0,56,42.1,4,0,1,0.3
Marcel Sabitzer,2022-2023,0,1,25,622,7,138.9,100.4,84.0,0,98,32.5,5,0,1,0.1
Marc Jurado Gomez,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Anthony Gordon,2022-2023,4,0,68,1574,18,215.3,265.6,517.0,5,186,99.8,4,0,7,0.9
Matt Ritchie,2022-2023,0,0,7,35,0,17.2,8.8,2.0,0,24,2.8,0,0,0,0.1
Federico FernÃ¡ndez,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ciaran Clark,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Karl Darlow,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7
Martin Dubravka,2022-2023,0,0,11,156,1,0.0,29.4,0.0,1,49,2.9,1,0,0,0.4
Callum Wilson,2022-2023,18,6,157,1870,16,271.0,720.0,1020.0,20,526,200.4,10,0,4,17.2
Kieran Trippier,2022-2023,1,9,198,3342,31,1818.5,904.8,117.0,39,941,284.3,16,0,5,62.4
Dan Burn,2022-2023,1,0,129,3109,30,230.4,550.2,265.0,6,584,104.8,14,0,5,4.3
Ryan Fraser,2022-2023,0,0,11,308,3,74.0,26.8,70.0,0,39,17.2,1,0,1,0.1
Jamaal Lascelles,2022-2023,0,0,3,214,5,0.9,42.6,13.0,0,22,5.4,0,0,4,0.1
Dwight Gayle,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Paul Dummett,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Javier Manquillo GaitÃ¡n,2022-2023,0,0,4,34,1,5.5,12.0,2.0,0,19,2.0,0,0,0,0.1
Emil Krafth,2022-2023,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0
